forecast_date,target,date_time,q0.025,q0.25,q0.5,q0.75,q0.975
20240214,energy,2024-02-15 00:00:00,44.568073,48.58841,49.493004,51.041992,53.788597
20240214,energy,2024-02-15 01:00:00,42.94729,45.86761,46.96916,49.562756,52.949295
20240214,energy,2024-02-15 02:00:00,42.26947,45.286366,46.055626,48.327984,51.913357
20240214,energy,2024-02-15 03:00:00,42.492424,45.286366,46.391865,48.7571,51.86445
20240214,energy,2024-02-15 04:00:00,43.658993,46.590916,47.988605,49.82771,53.137817
20240214,energy,2024-02-15 05:00:00,46.358864,49.87858,50.735043,53.278576,55.41485
20240214,energy,2024-02-15 06:00:00,53.687935,56.861652,57.955715,59.45105,61.718796
20240214,energy,2024-02-15 07:00:00,59.036327,62.270027,63.086784,64.70485,67.70003
20240214,energy,2024-02-15 08:00:00,61.961617,64.55309,65.89666,67.414795,69.94341
20240214,energy,2024-02-15 09:00:00,62.500385,65.50096,66.23572,68.59884,70.47388
20240214,energy,2024-02-15 10:00:00,62.057438,65.53366,66.27714,68.2885,70.332695
20240214,energy,2024-02-15 11:00:00,62.500385,65.61322,66.9029,69.2285,70.944275
20240214,energy,2024-02-15 12:00:00,62.500385,65.55592,66.80355,69.2285,70.833275
20240214,energy,2024-02-15 13:00:00,61.79827,64.99839,66.079185,68.03203,70.51307
20240214,energy,2024-02-15 14:00:00,60.456646,63.24202,64.51748,66.68609,69.32686
20240214,energy,2024-02-15 15:00:00,58.86149,62.150833,63.10548,65.59725,68.48081
20240214,energy,2024-02-15 16:00:00,57.826637,61.419323,62.54621,64.57968,67.3736
20240214,energy,2024-02-15 17:00:00,61.008316,63.707954,64.799385,67.20283,69.9814
20240214,energy,2024-02-15 18:00:00,61.550316,64.424965,65.799614,67.83986,70.082245
20240214,energy,2024-02-15 19:00:00,60.635506,63.386692,64.680115,66.78656,69.63968
20240214,energy,2024-02-15 20:00:00,57.3279,60.010143,60.91465,62.909103,66.04461
20240214,energy,2024-02-15 21:00:00,54.02159,56.560715,57.238384,58.86519,61.274837
20240214,energy,2024-02-15 22:00:00,50.8539,53.531673,54.027187,56.361557,58.449596
20240214,energy,2024-02-15 23:00:00,46.66699,49.944263,51.493923,53.845474,55.453014
20240214,energy,2024-02-16 00:00:00,43.256542,47.111855,47.492813,49.48879,52.659546
20240214,energy,2024-02-16 01:00:00,42.09826,45.14363,46.055626,47.79166,51.413937
20240214,energy,2024-02-16 02:00:00,41.38752,44.04155,45.1892,47.406925,49.53547
20240214,energy,2024-02-16 03:00:00,42.356476,44.54986,45.949223,48.11273,50.23361
20240214,energy,2024-02-16 04:00:00,42.931374,45.961308,47.45976,49.33685,51.60781
20240214,energy,2024-02-16 05:00:00,45.90462,49.27469,50.18693,52.912197,54.19172
20240214,energy,2024-02-16 06:00:00,52.154903,55.94135,57.2868,59.3228,60.3071
20240214,energy,2024-02-16 07:00:00,58.488937,62.392788,63.32401,65.03488,66.840546
20240214,energy,2024-02-16 08:00:00,61.958164,65.40595,66.42877,68.69545,70.1713
20240214,energy,2024-02-16 09:00:00,61.970154,65.77069,67.1976,69.140854,70.40478
20240214,energy,2024-02-16 10:00:00,63.580902,66.147415,67.627556,69.78609,71.7649
20240214,energy,2024-02-16 11:00:00,64.29445,66.9236,67.50121,69.65452,71.92214
20240214,energy,2024-02-16 12:00:00,63.48005,65.85507,67.399605,69.21224,71.59892
20240214,energy,2024-02-16 13:00:00,61.19182,64.396675,65.31536,67.57733,70.4228
20240214,energy,2024-02-16 14:00:00,59.013603,62.35969,63.163315,65.15924,67.652466
20240214,energy,2024-02-16 15:00:00,58.079964,61.174084,62.313934,64.31763,66.93853
20240214,energy,2024-02-16 16:00:00,57.502254,60.5981,62.03872,63.90165,66.28793
20240214,energy,2024-02-16 17:00:00,59.2389,62.388676,63.505436,65.587555,68.86629
20240214,energy,2024-02-16 18:00:00,60.409916,63.38593,64.35112,66.437164,69.09667
20240214,energy,2024-02-16 19:00:00,58.061462,61.456955,62.566647,64.737915,67.56685
20240214,energy,2024-02-16 20:00:00,53.88406,57.44579,58.271835,60.06726,62.189972
20240214,energy,2024-02-16 21:00:00,50.891796,53.53424,54.51352,56.83384,59.022354
20240214,energy,2024-02-16 22:00:00,48.57711,51.50983,52.04687,54.26214,56.77827
20240214,energy,2024-02-16 23:00:00,45.793224,49.529556,50.05245,52.13576,54.448368
20240214,energy,2024-02-17 00:00:00,42.206696,45.6936,46.95764,48.585876,51.782684
20240214,energy,2024-02-17 01:00:00,41.316376,43.233196,44.25453,46.11215,49.894222
20240214,energy,2024-02-17 02:00:00,39.95226,42.42661,43.494537,45.183712,47.703125
20240214,energy,2024-02-17 03:00:00,39.95226,42.350048,43.494537,45.031303,47.63731
20240214,energy,2024-02-17 04:00:00,40.432102,42.40302,43.789207,45.20181,47.82874
20240214,energy,2024-02-17 05:00:00,40.77668,42.522,43.904793,45.435295,47.821213
20240214,energy,2024-02-17 06:00:00,42.174023,43.551376,44.811806,46.88791,50.146534
20240214,energy,2024-02-17 07:00:00,43.565094,45.955853,47.2073,48.705463,51.86934
20240214,energy,2024-02-17 08:00:00,45.715553,49.844692,51.48146,53.018574,53.919487
20240214,energy,2024-02-17 09:00:00,48.55978,51.4707,53.283703,55.51163,58.22044
20240214,energy,2024-02-17 10:00:00,50.46376,53.182446,53.83776,56.522312,58.80043
20240214,energy,2024-02-17 11:00:00,51.71963,54.62061,55.36216,57.076885,60.441013
20240214,energy,2024-02-17 12:00:00,50.841286,53.843517,54.673737,56.98158,59.034157
20240214,energy,2024-02-17 13:00:00,49.578876,53.00733,53.72764,56.105698,58.521317
20240214,energy,2024-02-17 14:00:00,46.95325,50.450687,52.077454,54.2846,56.693947
20240214,energy,2024-02-17 15:00:00,46.94675,49.88556,51.91941,54.2846,56.063393
20240214,energy,2024-02-17 16:00:00,46.897045,50.21606,52.077454,54.2846,56.60167
20240214,energy,2024-02-17 17:00:00,50.017113,53.30888,54.35569,56.911583,59.43349
20240214,energy,2024-02-17 18:00:00,51.731003,54.327354,55.32428,57.061844,60.219227
20240214,energy,2024-02-17 19:00:00,50.2454,52.921658,53.84413,55.78669,58.129524
20240214,energy,2024-02-17 20:00:00,46.739616,49.849552,50.761093,53.19171,55.05627
20240214,energy,2024-02-17 21:00:00,45.369812,48.067116,49.170208,50.6254,52.944096
20240214,energy,2024-02-17 22:00:00,44.22161,46.61063,47.395287,49.124386,52.612606
20240214,energy,2024-02-17 23:00:00,41.83299,43.503872,44.684433,46.47627,49.603004
