,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,split5_test_r2,split6_test_r2,split7_test_r2,split8_test_r2,split9_test_r2,split10_test_r2,split11_test_r2,split12_test_r2,split13_test_r2,split14_test_r2,split15_test_r2,split16_test_r2,split17_test_r2,split18_test_r2,split19_test_r2,split20_test_r2,split21_test_r2,split22_test_r2,split23_test_r2,split24_test_r2,split25_test_r2,split26_test_r2,split27_test_r2,split28_test_r2,split29_test_r2,split30_test_r2,split31_test_r2,split32_test_r2,split33_test_r2,split34_test_r2,split35_test_r2,split36_test_r2,split37_test_r2,split38_test_r2,split39_test_r2,split40_test_r2,split41_test_r2,split42_test_r2,split43_test_r2,split44_test_r2,split45_test_r2,split46_test_r2,split47_test_r2,split48_test_r2,split49_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,split5_test_neg_root_mean_squared_error,split6_test_neg_root_mean_squared_error,split7_test_neg_root_mean_squared_error,split8_test_neg_root_mean_squared_error,split9_test_neg_root_mean_squared_error,split10_test_neg_root_mean_squared_error,split11_test_neg_root_mean_squared_error,split12_test_neg_root_mean_squared_error,split13_test_neg_root_mean_squared_error,split14_test_neg_root_mean_squared_error,split15_test_neg_root_mean_squared_error,split16_test_neg_root_mean_squared_error,split17_test_neg_root_mean_squared_error,split18_test_neg_root_mean_squared_error,split19_test_neg_root_mean_squared_error,split20_test_neg_root_mean_squared_error,split21_test_neg_root_mean_squared_error,split22_test_neg_root_mean_squared_error,split23_test_neg_root_mean_squared_error,split24_test_neg_root_mean_squared_error,split25_test_neg_root_mean_squared_error,split26_test_neg_root_mean_squared_error,split27_test_neg_root_mean_squared_error,split28_test_neg_root_mean_squared_error,split29_test_neg_root_mean_squared_error,split30_test_neg_root_mean_squared_error,split31_test_neg_root_mean_squared_error,split32_test_neg_root_mean_squared_error,split33_test_neg_root_mean_squared_error,split34_test_neg_root_mean_squared_error,split35_test_neg_root_mean_squared_error,split36_test_neg_root_mean_squared_error,split37_test_neg_root_mean_squared_error,split38_test_neg_root_mean_squared_error,split39_test_neg_root_mean_squared_error,split40_test_neg_root_mean_squared_error,split41_test_neg_root_mean_squared_error,split42_test_neg_root_mean_squared_error,split43_test_neg_root_mean_squared_error,split44_test_neg_root_mean_squared_error,split45_test_neg_root_mean_squared_error,split46_test_neg_root_mean_squared_error,split47_test_neg_root_mean_squared_error,split48_test_neg_root_mean_squared_error,split49_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
12,1.2807900667190553,0.19922225336122662,0.011238231658935546,0.0073899814590617065,0.01,5,500,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500}",0.958589403132639,0.9611501978385586,0.832105024678345,0.5877471262906899,0.7869088688223097,0.8951584902063251,0.9490266249565201,0.9387162754826212,0.9747968918329711,0.9475825151356773,0.9377189395208948,0.9611758076355652,0.8324788797635153,0.9532606882192276,0.8876986455853315,0.7633769655410421,0.6592084532973956,0.7081722238043338,0.873055293133762,0.9797258477136253,0.9588481775049134,0.9811032657839542,0.9520179442379559,0.8411745888497769,0.9148390548722423,0.879170139517886,0.9524220023575517,0.9528816527626691,0.8145271660667772,0.6315183485004774,0.8937531904842113,0.8295973268862331,0.967639529710887,0.9550448767154885,0.9562998227662527,0.8320666942182355,0.8694901945664797,0.9532736404363751,0.775217576969718,0.9470814761494826,0.9532306101290409,0.9133305797849363,0.6353185419413174,0.7395824196223155,0.8270252344955913,0.9710488224352991,0.9715528235741014,0.9716599564962153,0.9044424830876427,0.9067858026079485,0.8807919421224665,0.10118100651186954,1,-1.8984162313109685,-1.7224981165309583,-3.282829425302401,-5.169724266443184,-3.8967878481197253,-2.8028544789766197,-2.003589096485027,-2.184989470018083,-1.441486094417555,-2.1420548099566012,-2.3659040713028636,-1.860148282636958,-3.930268399294767,-1.9003485446200028,-2.8215709501030286,-4.467087642002718,-5.069860478039074,-4.639401782014646,-3.1379198819450065,-1.2606066098731676,-1.7293826561156482,-1.2128044342617885,-1.9974367284816301,-3.645732376038809,-2.7717072789640715,-3.1900465822957798,-1.9963614810343526,-1.816399054482386,-3.7150798657196247,-5.212379278187546,-2.844655438439062,-3.435790689076675,-1.5146332043650461,-1.7038504843257838,-1.7173383183941615,-3.359427046861307,-3.213786344359212,-1.9257261594206614,-4.345369752291753,-1.9220793971707257,-1.6918388624346077,-2.3891276482222716,-4.910077804743358,-4.316062457805011,-3.350536061103095,-1.333271491041639,-1.3091438003346043,-1.3719595365811694,-2.686311943285181,-2.7177750558807907,-2.7468887542222222,1.151560366052934,1
25,0.2867599678039551,0.059689101523876416,0.008002548217773438,0.007814936002220524,0.05,5,100,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.9586503289230212,0.96319362961592,0.8313806149776033,0.5574867143028123,0.7868411211024211,0.8912577274843592,0.9495241678068574,0.9397303012726373,0.9742966443466685,0.9462301813269889,0.9346459777819626,0.9615174482810271,0.8279432176684489,0.9537052661004608,0.8877157002229842,0.7694816070433097,0.6845413053349971,0.6971325642920572,0.8788512489396234,0.9790313101426517,0.9583497763474963,0.9818251701581605,0.952393911239607,0.8424255205641588,0.9144032190307136,0.884001703889392,0.9529466845856376,0.9514301552820686,0.8127496012053113,0.6163475273528447,0.8951332877802288,0.8285455569273087,0.9673395401083532,0.9558792712555435,0.9570534330309963,0.8325184166693675,0.8713243885327547,0.956068973745128,0.7778888646477519,0.9461118338114713,0.9523958522013605,0.9147904060287714,0.6254994492403285,0.743101885141676,0.8074544122113557,0.9655047390022732,0.9715908512882738,0.9682473572347929,0.9055965392465235,0.907283222096322,0.8797871725364557,0.10349044323925803,2,-1.8970191845176947,-1.6765860410977742,-3.2899039485525337,-5.356100178887874,-3.8974072486323643,-2.854520191833692,-1.9937867639032398,-2.1668371994477975,-1.4557215739132496,-2.1695105975716897,-2.423568464997481,-1.8519458389895644,-3.983119385359436,-1.8912890234117217,-2.821356693126686,-4.409087880168844,-4.877787224851796,-4.7263400216797695,-3.0654484907175044,-1.2820172710006175,-1.7398236547539008,-1.1894127114756758,-1.989595805988717,-3.6313468389028016,-2.778790735649345,-3.1256165141275547,-1.9853231937326004,-1.8441642572631012,-3.73284000887444,-5.318596908873067,-2.8261196645636835,-3.4463776780955535,-1.5216375219988167,-1.687964171424975,-1.702466158328036,-3.354905756445518,-3.19112304527026,-1.8672360823673244,-4.319472653224482,-1.9396088871863637,-1.7068703800022007,-2.3689214287094056,-4.975740965044897,-4.286798101683974,-3.5350023498969447,-1.4553424390994971,-1.308268486838537,-1.4522152238411394,-2.6700412609610735,-2.7105139162285212,-2.7550298004702745,1.1580015900325205,2
13,1.881311936378479,0.2994675080399965,0.012102761268615723,0.006841953773257961,0.01,5,750,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 750}",0.9584700876420714,0.962391758201085,0.8319106063935746,0.5367364008107243,0.7965986503494622,0.8601780673648274,0.9484307390397849,0.9362194198486442,0.9763582549521248,0.9430273042083757,0.9319455263648121,0.9618620392432566,0.8314030725316435,0.9544055761760804,0.8923659956843929,0.7674203145022308,0.777110893116473,0.6237239683373812,0.8668073239193541,0.9788481671701335,0.9575347597511429,0.9813415189054312,0.9550539601573862,0.8345137054688259,0.8993436064376166,0.8878027311324047,0.9536291998819642,0.9422749731112416,0.777387122235919,0.611089305725276,0.8661920289103417,0.8042422577675847,0.9695274102596091,0.9572120162531209,0.9530283240828155,0.8366980164561669,0.8942814827044798,0.9525415980093641,0.7603196444058805,0.9457413368193066,0.9546032405134148,0.9153762499545925,0.6441128920663279,0.7499407520705148,0.7550425899998829,0.9633562102438586,0.9753281976605233,0.973380946260726,0.9039025263796587,0.9181042517448142,0.8765823404245325,0.10647468490076661,3,-1.9011491976978887,-1.694750868538359,-3.284729593561023,-5.480240561107544,-3.8071587824072735,-3.236842497005706,-2.0152661879679323,-2.229056132774817,-1.3961213558828787,-2.233191029813169,-2.473132996533562,-1.843635594379971,-3.9428681376520274,-1.8769295504320458,-2.762315161356651,-4.428757011649748,-4.100114858261071,-5.2680750052896075,-3.214213528819664,-1.2876037431651486,-1.7567637243979513,-1.2051345633065282,-1.9332112865912823,-3.7213953163846525,-3.013337727024007,-3.0739799500870726,-1.970871894534864,-2.010473323467277,-4.070081845578572,-5.354920391471871,-3.1923662712325025,-3.6825442195826565,-1.469788156248606,-1.662274706532588,-1.7804602780004335,-3.3127794676199116,-2.892483976151922,-1.9407523111297957,-4.487059029655932,-1.9462651566206506,-1.6668271702593649,-2.360763826806103,-4.8505128635509065,-4.229353940932985,-3.987201756731538,-1.499980688196443,-1.2191810642419039,-1.3296500463856697,-2.6938908807335915,-2.5474352479792195,-2.7867578575146577,1.1826966262766903,5
22,0.7484188222885132,0.15961994796643736,0.009849157333374024,0.007797338488779385,0.05,3,500,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 500}",0.9578418633888064,0.9603782491254332,0.8227732403264352,0.5068101082426706,0.7588082742135566,0.8628029431105678,0.9586569841347095,0.9495228898774583,0.9751821966471508,0.9566295543803526,0.930538690308367,0.964693326251918,0.809754045151406,0.9506475973433243,0.8821379699965656,0.7893480485037389,0.7634064390004787,0.5974523830790207,0.875019584423771,0.9714174422996484,0.9583770644031714,0.9829495531010484,0.9569734372114643,0.8452926364612817,0.8898310742388056,0.9024238600018449,0.9481184383914789,0.9433127754867182,0.7995835221213805,0.6265406258650409,0.8889721079390315,0.7910324458355572,0.966597205043002,0.9498883980176313,0.9604576849095978,0.8441689576563733,0.8978951373419665,0.959372073257874,0.7741233495576283,0.9444999625783175,0.9542154199448536,0.9126510852003576,0.6162044258591528,0.7569709682152846,0.7021737333814132,0.9622903073139583,0.9744068712436718,0.9748686254237112,0.9198783678969432,0.9146631909675996,0.8752511026934309,0.11215244919817137,4,-1.915474596855951,-1.7395270296367542,-3.372827394459974,-5.654479288837614,-4.145770695051444,-3.206315943609325,-1.804421701487134,-1.9830059350599674,-1.4304249448857407,-1.9484507470036496,-2.4985647926516195,-1.7738821058583902,-4.188370970613033,-1.952748245371837,-2.890582950407467,-4.214816842890955,-4.22428354442757,-5.448880733940465,-3.113547778839475,-1.496782759879655,-1.7392536195963235,-1.152033961358635,-1.8914807795654314,-3.5981584438399636,-3.1525115282317615,-2.866696424717149,-2.0846954635268444,-1.9923188312371505,-3.861843884633153,-5.247467513130782,-2.907955579061521,-3.804765777045157,-1.5388329072438436,-1.7989165978123294,-1.63359842996497,-3.236113786504799,-2.8426189226262983,-1.7956673538563332,-4.3559334123145055,-1.9684033746622183,-1.673931808734704,-2.3984748309707777,-5.037110913758478,-4.169477642125862,-4.396473097296685,-1.5216401985628003,-1.2417365399614353,-1.291960298607409,-2.4597949676709954,-2.600403104001171,-2.78526857988775,1.2132650637060995,3
36,0.3854118585586548,0.07666602127217878,0.008356413841247558,0.003042441418647693,0.1,3,250,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 250}",0.9572366237655072,0.963414182404906,0.818492539393816,0.49212792073085354,0.7702645749531448,0.8355738379519267,0.9586525895005032,0.952535217689932,0.976287467402858,0.9484577029924425,0.9308638010505765,0.9645905603274016,0.8208591825872442,0.9509969365521892,0.880824059841317,0.7979190161863661,0.77698186077452,0.6187726872359606,0.8686861781486543,0.969033736644803,0.9584525329536968,0.9826291447072885,0.95658531781255,0.8485290897977735,0.890869289692884,0.9000681563602531,0.949239823853518,0.939941199612822,0.8051862441059191,0.5838112792969377,0.8957144496821104,0.7958423098075605,0.9657124927270186,0.9515369054883207,0.9588107793059071,0.8413272187959107,0.8947008995898161,0.9570741140312662,0.759333737194501,0.9443108786694554,0.951663967878754,0.9185211805995583,0.6189646217198022,0.7626008224590006,0.7251665312010398,0.966613497072285,0.9742141185883839,0.9752275135877703,0.9111274712682723,0.9237375817344449,0.8752016769145949,0.11281134316614302,5,-1.9291752712180044,-1.6715552361569836,-3.4133176655546222,-5.738028528037226,-4.046113478664702,-3.5100990915043724,-1.8045176011505892,-1.92292576802329,-1.3982099103125172,-2.124097141753792,-2.4927107209049133,-1.7764618189588774,-4.064290115452919,-1.9458247425278399,-2.9066502117595325,-4.128180587134831,-4.101301481700208,-5.302622081637378,-3.191462700792054,-1.5579468207652571,-1.7376761419416797,-1.1628079705487955,-1.899992641015549,-3.5603230705015187,-3.137621967735326,-2.901094246234384,-2.0620427356931454,-2.050711513171452,-3.8074815742518218,-5.5395339588358485,-2.8182777339551537,-3.760723193651745,-1.5590786252706308,-1.769079933564499,-1.6672704335090576,-3.2654874037607686,-2.8867406008072285,-1.8457513317914567,-4.496278149657865,-1.9717536150639883,-1.719941370113608,-2.3164811595777772,-5.018965185011618,-4.12090095092981,-4.223356388004154,-1.4317623632713496,-1.2464037896925666,-1.2827022188390906,-2.590644276406984,-2.4582597046495014,-2.786692704429365,1.2121559653474743,4
21,0.4009400510787964,0.07675631732913048,0.008783087730407715,0.00698993471331117,0.05,3,250,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 250}",0.9541763633564183,0.959772000192644,0.8219512899679978,0.5680116651858942,0.7554100730707599,0.8600975891784415,0.9566027317585638,0.9435650253147785,0.9750031138979395,0.9572222590754411,0.9358672532196011,0.9668059832508269,0.8123883838051951,0.9471759428810669,0.8829171940405782,0.7838010542570906,0.7694212421389344,0.6534741790599014,0.8719598251552607,0.9772857661689475,0.9595660038244729,0.9810781855568292,0.9537979763175659,0.8439217835138739,0.911206831088074,0.8951114688960988,0.950779990576432,0.9465215150041676,0.7848511420914551,0.6065673009142085,0.896714036672791,0.7891617618924243,0.9660128221592283,0.949847242096447,0.9589843268548633,0.8417522279567745,0.8787502379606711,0.9584707650782898,0.7759661519015921,0.9456156746847042,0.9528755733197982,0.9122391842500325,0.5522761407303888,0.7323470461747845,0.6886418512206359,0.9701171073225456,0.972770416803708,0.9732364015059839,0.9074927070020687,0.9025059644430921,0.8742417754558057,0.11137393231006311,6,-1.997011057605756,-1.7527846838135888,-3.380639673351229,-5.292020818408647,-4.174873862703492,-3.2377738878681215,-1.8487073201663664,-2.0967707028442772,-1.4355765687765691,-1.9350910884235328,-2.4008169726307904,-1.7199913187954112,-4.159271666306129,-2.0202633388660933,-2.8810118147774224,-4.269949604886923,-4.17024191075641,-5.055527447954406,-3.151430120825732,-1.33431163791718,-1.714233173288348,-1.2136089998635284,-1.960036256589696,-3.614064821495759,-2.830198548307468,-2.972171665020923,-2.0305184863554984,-1.935110594909766,-4.001266915360648,-5.3859622133291,-2.8047384810371847,-3.821758022864788,-1.5522355052698338,-1.7996551580642859,-1.6637542692649447,-3.2611111249383438,-3.0976751901920023,-1.8154760409441495,-4.338128199537823,-1.9485176115969742,-1.6982482835758432,-2.404123281964655,-5.440472908610329,-4.375609850372734,-4.4952416135644055,-1.354555468335212,-1.2808204914473869,-1.3332552409673408,-2.6430903023544383,-2.779466857057381,-2.7975834214831767,1.2137250026585844,6
23,1.0720979022979735,0.20524777530433794,0.010672807693481445,0.007359368670872171,0.05,3,750,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 750}",0.9570615545094554,0.9600053225624641,0.8122709300382491,0.4919665860721557,0.7443654794669626,0.8634212647965813,0.9568994604031151,0.9525382223500224,0.97649416355058,0.9456614304178277,0.9297870329621295,0.961604659606587,0.811659168597628,0.953172226086067,0.875674015944459,0.7841270373618612,0.7239438279052943,0.5713209017833414,0.8781355194864504,0.9696374503905029,0.9583492626181662,0.9832161958975869,0.9541596431998884,0.8492853292296907,0.8841360903444859,0.9055952676943694,0.9468268831587582,0.942868543958749,0.8080226520464173,0.6076831181584783,0.883186732737767,0.7958231603993073,0.9667272325681971,0.9524312424008035,0.9616349995399217,0.8461896378237563,0.8982918804973653,0.9586209687683053,0.7818987887178108,0.9472053874425279,0.953520717483498,0.9055776783935923,0.6461989122929716,0.7691148679914481,0.7073219229205396,0.9603033290094635,0.9741555074766123,0.9752104788963927,0.9206244305777743,0.93081906787848,0.8738949236882972,0.11459389386852349,7,-1.9331201692447015,-1.7476942169537921,-3.471324650584698,-5.73893984941512,-4.268092517177945,-3.19908264902604,-1.8423762149974787,-1.9228649036363636,-1.39210265129431,-2.180954427691308,-2.512047198536148,-1.849846156740946,-4.167347026272569,-1.9021460616468142,-2.968789675370856,-4.266729291979215,-4.562998560441999,-5.622957828088197,-3.0744902711054487,-1.5426853188516096,-1.7398343845364341,-1.142990444660587,-1.9523496568400371,-3.5514242472107513,-3.232966582441931,-2.8197251008446096,-2.110484468964717,-2.000110037048644,-3.7796622628273524,-5.3783192077337745,-2.9827565391671373,-3.7608995620634826,-1.5358348686260788,-1.7526806415305964,-1.60909566566414,-3.2150637829006348,-2.837090844665782,-1.8121899436138427,-4.2803038674119405,-1.9198277571998077,-1.6865835192435266,-2.4936973614442968,-4.8362764128591,-4.06397057322136,-4.358308996930758,-1.5612142988611353,-1.2478195188174508,-1.2831431653193024,-2.4483158373167497,-2.3413464473391645,-2.7980175127272138,1.2265491968248152,7
40,0.28513316631317137,0.051924090092687565,0.0072785234451293946,0.0034675681038854205,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.9600601006103865,0.9634367645598597,0.8305459566391429,0.5559464004510033,0.7913435921308636,0.841888353905797,0.9456955857553754,0.9390160464094606,0.9752425210588413,0.9375105100727485,0.9272807709672962,0.9612538323871115,0.8146583415876576,0.9535240376572207,0.8851702942837871,0.7705453767298236,0.8207039053008387,0.565827176713301,0.8675294800743317,0.9742249399799199,0.9603121362824173,0.9806765427583407,0.9553935905875278,0.8303090628839662,0.8863911473301234,0.8833654013234814,0.9506863311362282,0.9364546483805342,0.7823506281817205,0.5641453078970877,0.8708162311764035,0.8047459256466443,0.9665797993439263,0.9551562745638258,0.9504506690531696,0.8418259588799966,0.9022806569781717,0.9539119708078261,0.7389889791678504,0.9480845185807676,0.9522812200599429,0.9182910065474617,0.6398422812603846,0.7491467052447822,0.7615428397525942,0.9500684629117672,0.9738409301641711,0.9693207999136741,0.9002855441971966,0.9274334610095584,0.8737276603859262,0.11027853339063165,8,-1.8644003533518652,-1.6710392828668004,-3.298036335200704,-5.365413920138711,-3.856025862675992,-3.4420394779119463,-2.068019032510288,-2.1796389526366955,-1.4286854266522122,-2.338815588552175,-2.5564880388992046,-1.8582781780363953,-4.134033081093535,-1.8949872904533884,-2.8531565667824554,-4.398902841344267,-3.677367352019606,-5.658873555051991,-3.2054881282021985,-1.4213730294647817,-1.6983430709460146,-1.2264216656402702,-1.925893373460342,-3.768375008488779,-3.201350407918737,-3.1341774926644437,-2.0324494778584183,-2.1093960894552626,-4.024451608481278,-5.668901864024258,-3.136719588921675,-3.677803733204698,-1.539233786484763,-1.701738122116022,-1.8286608135353632,-3.260351326729366,-2.7809020945877365,-1.9125272216693272,-4.6824698037072015,-1.903776255097934,-1.7089242405100857,-2.319750830319972,-4.879528917824235,-4.236063637343592,-3.93394338126584,-1.7509467726919674,-1.2553907343456288,-1.4274570914878562,-2.7441198583506217,-2.397953080132466,-2.8207816728621866,1.1972459943134366,11
14,2.468377561569214,0.4163242319319927,0.015720338821411134,0.004860159259614316,0.01,5,1000,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 1000}",0.9586301638086807,0.9620618528160051,0.8319075029303835,0.49630751738064693,0.789726024157919,0.853557046916926,0.947152941510666,0.9327404103514642,0.9762491878013693,0.9386895094279002,0.9229825127324586,0.9617014678939527,0.8305619264488973,0.9551412279092926,0.8913225712294368,0.7724040642382235,0.7880890728734191,0.5589089128133425,0.8615232099547371,0.9772313169316343,0.9580310611815939,0.9819235727492659,0.9555799588672044,0.8305414199947757,0.8968568085853708,0.8915804834691985,0.9490580648372657,0.9368493149736993,0.7626317667958576,0.6014665992625622,0.8384872860184588,0.7968009842568795,0.9697933413588442,0.9625006662181096,0.9517509905249916,0.8512397889848782,0.8994358668189351,0.9525958059977417,0.7386103304871015,0.9492014130973428,0.9547095660342257,0.9144084094380311,0.6616989125318554,0.7556457300014717,0.7342304549136415,0.9590230488761383,0.9766196987758972,0.9726665256019289,0.9044972749498295,0.92775371842622,0.8728615460831334,0.1132183939161552,9,-1.8974816905678078,-1.7021679480850151,-3.284759916682889,-5.71436883899465,-3.870943549864278,-3.3125935815904954,-2.0400808263475443,-2.289042621302819,-1.399338033902681,-2.316647119838443,-2.6309573321313375,-1.8475126253753709,-3.9526915721802687,-1.8617261405741496,-2.7756720719046633,-4.381050050319263,-3.9978663990498786,-5.703780620855882,-3.2773516793753905,-1.335909947687043,-1.746467693801061,-1.1861884682234618,-1.9218659127448294,-3.765794114389282,-3.050334091350142,-3.0217854170630205,-2.0657312566568837,-2.1028353827367137,-4.20280557079186,-5.42076323194346,-3.5073174684888513,-3.7518830867427746,-1.4633607590614734,-1.5561578991378038,-1.8045065471120711,-3.161842179224707,-2.821090297117624,-1.9396436103190036,-4.685865002207652,-1.8831862678597517,-1.6648740555125683,-2.374225455756725,-4.729151528555146,-4.180830275220785,-4.153130021957743,-1.5861903273000584,-1.1868417667049447,-1.3473749414449139,-2.6855416787173874,-2.392655793979879,-2.819043653375049,1.22263986199394,10
9,1.6867971086502076,0.7809083854470593,0.011775116920471191,0.007350005822229869,0.01,3,1000,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 1000}",0.9544740387648841,0.9597222775046459,0.8219917340156969,0.5377650616481415,0.7493463996151613,0.8342509574565535,0.9562024244090095,0.93990379727966,0.9740488914174512,0.9573188776332122,0.9388047144968962,0.9663044095557677,0.8313536801778101,0.9471697265791039,0.8817314896380114,0.7847368349620317,0.7045866117984985,0.675072809428239,0.8804039605901468,0.9788733776797376,0.9594027628428229,0.9802456273603248,0.9525346316255423,0.8434180890104612,0.924830425928697,0.8918263378795676,0.9507570496104166,0.9497508524311958,0.8071515375798358,0.5969472816213283,0.8960131369168374,0.791931869382047,0.9650306788905065,0.9511815185406478,0.9583548754011955,0.83615966404115,0.868898541173728,0.9580358723632526,0.7787612960158126,0.9411255296567932,0.9509774911031884,0.923826830392375,0.545682024224005,0.7182977209882822,0.6901651553016785,0.96846590497641,0.9715128070197874,0.972642235284113,0.902209910677854,0.9034406851301076,0.8724728083604125,0.11472164410000119,10,-1.9905140868756748,-1.7538675894042697,-3.380255692704909,-5.474152837297273,-4.2263070711678035,-3.5241909468382664,-1.8572142190885226,-2.163716157288815,-1.462720550228306,-1.9329045377025644,-2.345190438369677,-1.7329374449383634,-3.943445648997635,-2.0203822070314197,-2.89556315432782,-4.2606987051237715,-4.7202683348697825,-4.895439636791899,-3.0457408709123244,-1.2868361778899533,-1.717690056902305,-1.2400209419090154,-1.9866530742775574,-3.6198917661795855,-2.604043116238702,-3.0183573400024564,-2.030991633654115,-1.8757743477462867,-3.788227835631743,-5.451411968538866,-2.8142388849040616,-3.7965688438540126,-1.574503613301102,-1.7755545461453954,-1.6764721531629816,-3.318235541548931,-3.221062799382499,-1.8249570855219008,-4.31098106806068,-2.0273604477455907,-1.7321117649004223,-2.2397906231592444,-5.4803903514605885,-4.488980835295044,-4.484231759025408,-1.3914758149142152,-1.3100642609955715,-1.3479734913621106,-2.7175117863311598,-2.7661107460625627,-2.8108796961212636,1.2301608155196049,8
