,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0,1.0964921116828918,0.08306169977751192,0.00601959228515625,0.003759090055631682,0.01,1,100,"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 100}",5.141696404012045,4.758215358479817,5.141351880349053,4.151808664364284,4.7982680768013,0.40471085492018716,1
3,1.168549656867981,0.026634042395073294,0.006154537200927734,0.0035953495957797904,0.01,3,100,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",4.30364797185262,3.928360769314236,4.246068386628893,3.357976915105184,3.9590135107252333,0.3752858888258317,2
6,1.31333589553833,0.036088281084847386,0.006079673767089844,0.003999531254416825,0.01,5,100,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",4.254905740525987,3.8493159681108264,4.08961779446072,3.109875117916531,3.825928655253516,0.43784498871181454,3
1,3.052266240119934,0.14608032373045884,0.004798531532287598,0.00236946499335941,0.01,1,200,"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 200}",3.744306897566054,3.3966285291035963,3.90015129492018,2.913625259484185,3.4886779952685036,0.37875294228902123,4
4,2.200163960456848,0.045102854416358834,0.005806148052215576,0.003932526611470267,0.01,3,200,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",2.4610288203345405,2.122000069724189,2.6895374100579152,2.3249818020714654,2.3993870255470275,0.20643801553829152,5
2,6.58260852098465,0.13102851166869867,0.011445462703704834,0.0021474256356886962,0.01,1,400,"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 400}",2.4216850588904486,2.0860584796057804,2.7601978215959333,2.2955042693244088,2.3908614073541425,0.24462077432027837,6
7,2.294113337993622,0.03960706599936081,0.007193863391876221,0.0005666602105501934,0.01,5,200,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",2.3007694383833144,1.962881175994873,2.468300543340047,2.098402198961046,2.20758833916982,0.19265044742794746,7
9,1.7533739805221558,0.03817133961834752,0.007086336612701416,0.004117102017999538,0.05,1,100,"{'learning_rate': 0.05, 'max_depth': 1, 'n_estimators': 100}",2.040981158447266,1.747758269076877,2.5153309637281627,2.222546884621514,2.131654318968455,0.2788669151164767,8
18,1.8679801225662231,0.04567581027776091,0.006775021553039551,0.0029525903272211744,0.1,1,100,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 100}",1.4628461243947344,1.2623476785447862,2.1298474800109863,2.1259533788045246,1.745248665438758,0.3891647739970073,9
10,3.6201453804969788,0.15467719045071948,0.0061484575271606445,0.0038685037122617063,0.05,1,200,"{'learning_rate': 0.05, 'max_depth': 1, 'n_estimators': 200}",1.4735579410552977,1.2529309311760797,2.1164066117180718,2.0989743165334067,1.7354674501207141,0.38035837371542314,10
5,4.629869878292084,0.10091572143411906,0.006312131881713867,0.0038379150603027566,0.01,3,400,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400}",1.4438652629852295,1.219059767786662,1.982564362674289,2.0842979200575087,1.6824468283759222,0.361664058742655,11
19,3.6380722522735596,0.08579034067719851,0.007175803184509277,0.003308708936596278,0.1,1,200,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 200}",1.1609460912068685,1.177050590303209,2.0238176393296983,2.0854589831458195,1.6118183259963987,0.44339250737803804,12
11,7.208520174026489,0.18582690427638576,0.006274759769439697,0.004010490619234646,0.05,1,400,"{'learning_rate': 0.05, 'max_depth': 1, 'n_estimators': 400}",1.15710448290507,1.1611080304463703,2.0002747312757703,2.0545228917439777,1.593252534092797,0.4345720327040075,13
8,4.666419804096222,0.09619800788663359,0.009221255779266357,0.0005857392416032303,0.01,5,400,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 400}",1.3526946220821805,1.148355621295505,1.8147293438381615,1.9820196281856959,1.5744498038503856,0.33711238188978404,14
12,1.4190202951431274,0.19084547676441455,0.006999552249908447,0.0029648851599710126,0.05,3,100,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",1.2448492203182644,1.135880715137058,1.8947001191457111,2.00297415860494,1.5696010533014935,0.3831053170397712,15
20,6.920389175415039,0.18821018095816125,0.005041718482971191,0.004160429483421614,0.1,1,400,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 400}",1.073176784515381,1.1473199214087593,1.9730110265519885,2.046617080900404,1.5600312033441333,0.45129701361293634,16
13,2.7170625925064087,0.06816039616210998,0.0094338059425354,0.0008403043689258189,0.05,3,200,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",1.06352049085829,1.127775288052029,1.907112382507324,1.970978472518921,1.5173466584841409,0.4229134620138386,17
21,1.3918065428733826,0.029333191648641243,0.006736338138580322,0.003956591800418983,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",1.069514969423082,1.1253087757958307,1.892510741721259,1.9605292184193925,1.511965926339891,0.41571925167662477,18
